league_id,league_name,season_id,season,game_id,gamedate,team_id,team_name,goals,penalty,result
9,Premier League,333,2016-2017,76009,2017-02-04 10:00:00.000,575,Sunderland,4,NULL,1
9,Premier League,333,2016-2017,76009,2017-02-04 10:00:00.000,2139,Crystal Palace,0,NULL,0
9,Premier League,333,2016-2017,76010,2017-02-04 10:00:00.000,2276,AFC Bournemouth,3,NULL,0
9,Premier League,333,2016-2017,76010,2017-02-04 10:00:00.000,568,Everton,6,NULL,1
9,Premier League,333,2016-2017,76011,2017-02-04 15:00:00.000,565,Liverpool,0,NULL,0
9,Premier League,333,2016-2017,76011,2017-02-04 15:00:00.000,2138,Hull City,2,NULL,1
9,Premier League,333,2016-2017,76012,2017-02-05 11:00:00.000,562,Manchester United,3,NULL,1
9,Premier League,333,2016-2017,76012,2017-02-05 11:00:00.000,2198,Leicester City,0,NULL,0
9,Premier League,333,2016-2017,76013,2017-02-05 08:30:00.000,675,Swansea,1,NULL,0
9,Premier League,333,2016-2017,76013,2017-02-05 08:30:00.000,573,Manchester City,2,NULL,1
9,Premier League,333,2016-2017,76014,2017-02-04 10:00:00.000,571,West Ham United,3,NULL,1
9,Premier League,333,2016-2017,76014,2017-02-04 10:00:00.000,2108,Southampton,1,NULL,0
9,Premier League,333,2016-2017,76015,2017-02-04 12:30:00.000,2294,Middlesbrough,0,NULL,0
9,Premier League,333,2016-2017,76015,2017-02-04 12:30:00.000,564,Tottenham,1,NULL,1
9,Premier League,333,2016-2017,76016,2017-02-04 10:00:00.000,2199,Burnley,1,NULL,0
9,Premier League,333,2016-2017,76016,2017-02-04 10:00:00.000,2275,Watford,2,NULL,1
9,Premier League,333,2016-2017,76017,2017-02-04 10:00:00.000,578,Stoke,0,NULL,0
9,Premier League,333,2016-2017,76017,2017-02-04 10:00:00.000,665,West Bromwich,1,NULL,1
9,Premier League,333,2016-2017,76018,2017-02-13 15:00:00.000,573,Manchester City,2,NULL,1
9,Premier League,333,2016-2017,76018,2017-02-13 15:00:00.000,2276,AFC Bournemouth,0,NULL,0
9,Premier League,333,2016-2017,76019,2017-02-11 07:30:00.000,2138,Hull City,0,NULL,0
9,Premier League,333,2016-2017,76019,2017-02-11 07:30:00.000,569,Arsenal,2,NULL,1
9,Premier League,333,2016-2017,76020,2017-02-12 08:30:00.000,580,Chelsea,1,NULL,2
9,Premier League,333,2016-2017,76020,2017-02-12 08:30:00.000,2199,Burnley,1,NULL,2
9,Premier League,333,2016-2017,76021,2017-02-11 12:30:00.000,564,Tottenham,0,NULL,0
9,Premier League,333,2016-2017,76021,2017-02-11 12:30:00.000,565,Liverpool,2,NULL,1
9,Premier League,333,2016-2017,76022,2017-02-11 10:00:00.000,2275,Watford,0,NULL,0
9,Premier League,333,2016-2017,76022,2017-02-11 10:00:00.000,562,Manchester United,2,NULL,1
9,Premier League,333,2016-2017,76023,2017-02-11 10:00:00.000,2139,Crystal Palace,0,NULL,0
